DMS_id,EVE_score,EVE_score_1,EVE_score_2,EVE_score_3,EVE_score_4,EVE_score_5+,Tranception_no_retrieval_score,Tranception_no_retrieval_score_1,Tranception_no_retrieval_score_2,Tranception_no_retrieval_score_3,Tranception_no_retrieval_score_4,Tranception_no_retrieval_score_5+,Tranception_retrieval_score,Tranception_retrieval_score_1,Tranception_retrieval_score_2,Tranception_retrieval_score_3,Tranception_retrieval_score_4,Tranception_retrieval_score_5+,MSA_transformer_score,MSA_transformer_score_1,MSA_transformer_score_2,MSA_transformer_score_3,MSA_transformer_score_4,MSA_transformer_score_5+,ESM1v_score,ESM1v_score_1,ESM1v_score_2,ESM1v_score_3,ESM1v_score_4,ESM1v_score_5+,Wavenet_score,Wavenet_score_1,Wavenet_score_2,Wavenet_score_3,Wavenet_score_4,Wavenet_score_5+,Deepsequence_score,Deepsequence_score_1,Deepsequence_score_2,Deepsequence_score_3,Deepsequence_score_4,Deepsequence_score_5+,Epistatic_score,Epistatic_score_1,Epistatic_score_2,Epistatic_score_3,Epistatic_score_4,Epistatic_score_5+,Independent_score,Independent_score_1,Independent_score_2,Independent_score_3,Independent_score_4,Independent_score_5+,Ensemble_EVE,Ensemble_EVE_1,Ensemble_EVE_2,Ensemble_EVE_3,Ensemble_EVE_4,Ensemble_EVE_5+,Ensemble_ESM1v,Ensemble_ESM1v_1,Ensemble_ESM1v_2,Ensemble_ESM1v_3,Ensemble_ESM1v_4,Ensemble_ESM1v_5+,Ensemble_MSA_transformer,Ensemble_MSA_transformer_1,Ensemble_MSA_transformer_2,Ensemble_MSA_transformer_3,Ensemble_MSA_transformer_4,Ensemble_MSA_transformer_5+,Ensemble_tranception_no_retrieval_EVE,Ensemble_tranception_no_retrieval_EVE_1,Ensemble_tranception_no_retrieval_EVE_2,Ensemble_tranception_no_retrieval_EVE_3,Ensemble_tranception_no_retrieval_EVE_4,Ensemble_tranception_no_retrieval_EVE_5+,Ensemble_tranception_retrieval_EVE,Ensemble_tranception_retrieval_EVE_1,Ensemble_tranception_retrieval_EVE_2,Ensemble_tranception_retrieval_EVE_3,Ensemble_tranception_retrieval_EVE_4,Ensemble_tranception_retrieval_EVE_5+,Ensemble_tranception_retrieval_EVE_ensemble,Ensemble_tranception_retrieval_EVE_ensemble_1,Ensemble_tranception_retrieval_EVE_ensemble_2,Ensemble_tranception_retrieval_EVE_ensemble_3,Ensemble_tranception_retrieval_EVE_ensemble_4,Ensemble_tranception_retrieval_EVE_ensemble_5+,number_mutants,UniProt_ID,Neff_L_category,Taxon
NRAM_I33A0_Jiang_2016_standard,0.584,0.584,,,,,0.551,0.551,,,,,0.621,0.621,,,,,0.519,0.519,,,,,0.162,0.162,,,,,0.343,0.343,,,,,0.491,0.491,,,,,0.534,0.534,,,,,0.504,0.504,,,,,0.584,0.584,,,,,0.448,0.448,,,,,0.628,0.628,,,,,0.634,0.634,,,,,0.636,0.636,,,,,0.637,0.637,,,,,298,NRAM_I33A0,low,Virus
NUD15_HUMAN_Suiter_2020,0.608,0.608,,,,,0.547,0.547,,,,,0.591,0.591,,,,,0.630,0.630,,,,,0.615,0.615,,,,,0.510,0.510,,,,,0.589,0.589,,,,,0.547,0.547,,,,,0.423,0.423,,,,,0.605,0.605,,,,,0.662,0.662,,,,,0.672,0.672,,,,,0.641,0.641,,,,,0.641,0.641,,,,,0.639,0.639,,,,,2088,NUD15_HUMAN,high,Human
P53_HUMAN_Giacomelli_2018_NULL_Etoposide,0.479,0.479,,,,,0.392,0.392,,,,,0.444,0.444,,,,,0.344,0.344,,,,,0.477,0.477,,,,,0.147,0.147,,,,,0.358,0.358,,,,,0.477,0.477,,,,,0.476,0.476,,,,,0.479,0.479,,,,,0.531,0.531,,,,,0.346,0.346,,,,,0.488,0.488,,,,,0.494,0.494,,,,,0.493,0.493,,,,,6403,P53_HUMAN,low,Human
P53_HUMAN_Giacomelli_2018_NULL_Nutlin,0.409,0.409,,,,,0.340,0.340,,,,,0.387,0.387,,,,,0.326,0.326,,,,,0.426,0.426,,,,,0.158,0.158,,,,,0.302,0.302,,,,,0.421,0.421,,,,,0.413,0.413,,,,,0.408,0.408,,,,,0.476,0.476,,,,,0.329,0.329,,,,,0.422,0.422,,,,,0.428,0.428,,,,,0.427,0.427,,,,,6403,P53_HUMAN,low,Human
P53_HUMAN_Giacomelli_2018_WT_Nutlin,0.538,0.538,,,,,0.398,0.398,,,,,0.448,0.448,,,,,0.331,0.331,,,,,0.508,0.508,,,,,0.066,0.066,,,,,0.391,0.391,,,,,0.520,0.520,,,,,0.519,0.519,,,,,0.539,0.539,,,,,0.570,0.570,,,,,0.325,0.325,,,,,0.503,0.503,,,,,0.511,0.511,,,,,0.511,0.511,,,,,6403,P53_HUMAN,low,Human
P53_HUMAN_Kotler_2018,0.555,0.555,,,,,0.420,0.420,,,,,0.564,0.564,,,,,0.582,0.582,,,,,0.538,0.538,,,,,0.432,0.432,,,,,0.451,0.451,,,,,0.602,0.602,,,,,0.631,0.631,,,,,0.576,0.576,,,,,0.622,0.622,,,,,0.579,0.579,,,,,0.582,0.582,,,,,0.607,0.607,,,,,0.613,0.613,,,,,1048,P53_HUMAN,low,Human
P84126_THETH_Chan_2017,0.567,0.567,,,,,0.533,0.533,,,,,0.541,0.541,,,,,0.631,0.631,,,,,0.546,0.546,,,,,0.613,0.613,,,,,0.572,0.572,,,,,0.569,0.569,,,,,0.502,0.502,,,,,0.570,0.570,,,,,0.582,0.582,,,,,0.630,0.630,,,,,0.575,0.575,,,,,0.568,0.568,,,,,0.571,0.571,,,,,1500,P84126_THETH,medium,Prokaryote
PABP_YEAST_Melamed_2013,0.639,0.619,0.643,,,,0.641,0.622,0.640,,,,0.689,0.657,0.689,,,,0.662,0.672,0.662,,,,0.665,0.659,0.665,,,,0.540,0.562,0.537,,,,0.614,0.587,0.618,,,,0.638,0.614,0.645,,,,0.662,0.636,0.662,,,,0.651,0.620,0.654,,,,0.679,0.667,0.679,,,,0.657,0.678,0.657,,,,0.685,0.660,0.686,,,,0.689,0.663,0.690,,,,0.693,0.662,0.694,,,,36638,PABP_YEAST,medium,Eukaryote
PA_I34A1_Wu_2015,0.539,0.539,,,,,0.541,0.541,,,,,0.572,0.572,,,,,0.383,0.383,,,,,0.054,0.054,,,,,0.325,0.325,,,,,0.508,0.508,,,,,0.519,0.519,,,,,0.518,0.518,,,,,0.543,0.543,,,,,0.101,0.101,,,,,0.304,0.304,,,,,0.600,0.600,,,,,0.583,0.583,,,,,0.586,0.586,,,,,1820,PA_I34A1,medium,Virus
POLG_CXB3N_Mattenberger_2021,0.465,0.465,,,,,0.347,0.347,,,,,0.405,0.405,,,,,0.476,0.476,,,,,-0.057,-0.057,,,,,0.351,0.351,,,,,0.402,0.402,,,,,0.391,0.391,,,,,0.418,0.418,,,,,0.465,0.465,,,,,0.041,0.041,,,,,0.490,0.490,,,,,0.454,0.454,,,,,0.456,0.456,,,,,0.454,0.454,,,,,15254,POLG_CXB3N,medium,Virus
POLG_HCVJF_Qi_2014,0.614,0.614,,,,,0.525,0.525,,,,,0.577,0.577,,,,,0.600,0.600,,,,,0.605,0.605,,,,,0.247,0.247,,,,,0.424,0.424,,,,,0.534,0.534,,,,,0.602,0.602,,,,,0.610,0.610,,,,,0.646,0.646,,,,,0.579,0.579,,,,,0.630,0.630,,,,,0.635,0.635,,,,,0.631,0.631,,,,,1612,POLG_HCVJF,medium,Virus
PTEN_HUMAN_Matreyek_2021,0.422,0.422,,,,,0.337,0.337,,,,,0.440,0.440,,,,,0.441,0.441,,,,,0.366,0.366,,,,,0.468,0.468,,,,,0.372,0.372,,,,,0.466,0.466,,,,,0.483,0.483,,,,,0.452,0.452,,,,,0.417,0.417,,,,,0.441,0.441,,,,,0.457,0.457,,,,,0.467,0.467,,,,,0.483,0.483,,,,,3818,PTEN_HUMAN,medium,Human
PTEN_HUMAN_Mighell_2018,0.580,0.580,,,,,0.346,0.346,,,,,0.478,0.478,,,,,0.540,0.540,,,,,0.507,0.507,,,,,0.552,0.552,,,,,0.550,0.550,,,,,0.582,0.582,,,,,0.538,0.538,,,,,0.585,0.585,,,,,0.556,0.556,,,,,0.501,0.501,,,,,0.567,0.567,,,,,0.581,0.581,,,,,0.581,0.581,,,,,5525,PTEN_HUMAN,medium,Human
Q2N0S5_9HIV1_Haddox_2018,0.496,0.496,,,,,0.412,0.412,,,,,0.492,0.492,,,,,0.490,0.490,,,,,0.496,0.496,,,,,0.403,0.403,,,,,0.359,0.359,,,,,0.384,0.384,,,,,0.481,0.481,,,,,0.499,0.499,,,,,0.524,0.524,,,,,0.500,0.500,,,,,0.503,0.503,,,,,0.512,0.512,,,,,0.512,0.512,,,,,12482,Q2N0S5_9HIV1,medium,Virus
Q59976_STRSQ_Romero_2015,0.647,0.647,,,,,0.645,0.645,,,,,0.659,0.659,,,,,0.674,0.674,,,,,0.506,0.506,,,,,0.643,0.643,,,,,0.654,0.654,,,,,0.638,0.638,,,,,0.551,0.551,,,,,0.653,0.653,,,,,0.532,0.532,,,,,0.637,0.637,,,,,0.678,0.678,,,,,0.673,0.673,,,,,0.676,0.676,,,,,2641,Q59976_STRSQ,medium,Prokaryote
R1AB_SARS2_Flynn_2022_growth,0.600,0.600,,,,,0.216,0.216,,,,,0.401,0.401,,,,,-0.037,-0.037,,,,,-0.030,-0.030,,,,,0.266,0.266,,,,,0.330,0.330,,,,,0.553,0.553,,,,,0.577,0.577,,,,,0.605,0.605,,,,,-0.040,-0.040,,,,,-0.037,-0.037,,,,,0.500,0.500,,,,,0.535,0.535,,,,,0.537,0.537,,,,,5725,R1AB_SARS2,medium,Virus
RASH_HUMAN_Bandaru_2017,0.454,0.454,,,,,0.377,0.377,,,,,0.447,0.447,,,,,0.415,0.415,,,,,0.359,0.359,,,,,0.518,0.518,,,,,0.456,0.456,,,,,0.438,0.438,,,,,0.448,0.448,,,,,0.464,0.464,,,,,0.404,0.404,,,,,0.422,0.422,,,,,0.453,0.453,,,,,0.472,0.472,,,,,0.471,0.471,,,,,3064,RASH_HUMAN,high,Human
REV_HV1H2_Fernandes_2016,0.227,0.227,,,,,0.246,0.246,,,,,0.245,0.245,,,,,0.251,0.251,,,,,0.249,0.249,,,,,0.178,0.178,,,,,0.241,0.241,,,,,0.158,0.158,,,,,0.227,0.227,,,,,0.229,0.229,,,,,0.271,0.271,,,,,0.257,0.257,,,,,0.259,0.259,,,,,0.249,0.249,,,,,0.250,0.250,,,,,2033,REV_HV1H2,medium,Virus
RL401_YEAST_Mavor_2016,0.364,0.364,,,,,0.331,0.331,,,,,0.368,0.368,,,,,0.378,0.378,,,,,0.297,0.297,,,,,0.417,0.417,,,,,0.368,0.368,,,,,0.347,0.347,,,,,0.274,0.274,,,,,0.361,0.361,,,,,0.319,0.319,,,,,0.392,0.392,,,,,0.374,0.374,,,,,0.377,0.377,,,,,0.376,0.376,,,,,1109,RL401_YEAST,medium,Eukaryote
RL401_YEAST_Roscoe_2013,0.421,0.421,,,,,0.392,0.392,,,,,0.419,0.419,,,,,0.434,0.434,,,,,0.314,0.314,,,,,0.471,0.471,,,,,0.419,0.419,,,,,0.375,0.375,,,,,0.297,0.297,,,,,0.423,0.423,,,,,0.371,0.371,,,,,0.421,0.421,,,,,0.437,0.437,,,,,0.437,0.437,,,,,0.438,0.438,,,,,1075,RL401_YEAST,medium,Eukaryote
RL401_YEAST_Roscoe_2014,0.401,0.401,,,,,0.343,0.343,,,,,0.404,0.404,,,,,0.365,0.365,,,,,0.254,0.254,,,,,0.409,0.409,,,,,0.390,0.390,,,,,0.292,0.292,,,,,0.372,0.372,,,,,0.395,0.395,,,,,0.287,0.287,,,,,0.381,0.381,,,,,0.398,0.398,,,,,0.411,0.411,,,,,0.408,0.408,,,,,1224,RL401_YEAST,medium,Eukaryote
SC6A4_HUMAN_Young_2021,0.489,0.489,,,,,0.400,0.400,,,,,0.465,0.465,,,,,0.509,0.509,,,,,0.472,0.472,,,,,0.501,0.501,,,,,0.451,0.451,,,,,0.485,0.485,,,,,0.460,0.460,,,,,0.485,0.485,,,,,0.479,0.479,,,,,0.517,0.517,,,,,0.491,0.491,,,,,0.500,0.500,,,,,0.498,0.498,,,,,9260,SC6A4_HUMAN,medium,Human
SCN5A_HUMAN_Glazer_2019,0.199,0.199,,,,,0.073,0.073,,,,,0.093,0.093,,,,,0.157,0.157,,,,,0.176,0.176,,,,,0.144,0.144,,,,,0.160,0.160,,,,,0.132,0.132,,,,,0.131,0.131,,,,,0.177,0.177,,,,,0.133,0.133,,,,,0.136,0.136,,,,,0.129,0.129,,,,,0.135,0.135,,,,,0.130,0.130,,,,,213,SCN5A_HUMAN,medium,Human
SPG1_STRSG_Olson_2014,0.247,0.255,0.246,,,,0.280,0.302,0.279,,,,0.289,0.318,0.289,,,,0.142,0.146,0.141,,,,0.238,0.262,0.237,,,,0.278,0.265,0.277,,,,0.028,-0.005,0.028,,,,0.232,0.235,0.231,,,,0.216,0.205,0.215,,,,0.272,0.274,0.272,,,,0.193,0.221,0.192,,,,0.244,0.281,0.243,,,,0.332,0.373,0.331,,,,0.330,0.373,0.329,,,,0.343,0.380,0.343,,,,537451,SPG1_STRSG,low,Prokaryote
SPIKE_SARS2_Starr_2020_bind,0.249,0.249,,,,,0.355,0.355,,,,,0.317,0.317,,,,,0.416,0.416,,,,,-0.064,-0.064,,,,,0.337,0.337,,,,,0.149,0.149,,,,,0.205,0.205,,,,,0.158,0.158,,,,,0.252,0.252,,,,,-0.039,-0.039,,,,,0.414,0.414,,,,,0.355,0.355,,,,,0.327,0.327,,,,,0.327,0.327,,,,,3802,SPIKE_SARS2,medium,Virus
SPIKE_SARS2_Starr_2020_expr,0.445,0.445,,,,,0.383,0.383,,,,,0.367,0.367,,,,,0.527,0.527,,,,,-0.023,-0.023,,,,,0.355,0.355,,,,,0.188,0.188,,,,,0.314,0.314,,,,,0.200,0.200,,,,,0.450,0.450,,,,,0.004,0.004,,,,,0.557,0.557,,,,,0.501,0.501,,,,,0.474,0.474,,,,,0.467,0.467,,,,,3798,SPIKE_SARS2,medium,Virus
SRC_HUMAN_Ahler_2019_CD,0.505,0.505,,,,,0.348,0.348,,,,,0.493,0.493,,,,,0.258,0.258,,,,,0.561,0.561,,,,,0.485,0.485,,,,,0.471,0.471,,,,,0.463,0.463,,,,,0.525,0.525,,,,,0.508,0.508,,,,,0.585,0.585,,,,,0.370,0.370,,,,,0.488,0.488,,,,,0.513,0.513,,,,,0.516,0.516,,,,,3366,SRC_HUMAN,medium,Human
SUMO1_HUMAN_Weile_2017,0.531,0.531,,,,,0.424,0.424,,,,,0.488,0.488,,,,,0.423,0.423,,,,,0.430,0.430,,,,,0.531,0.531,,,,,0.512,0.512,,,,,0.426,0.426,,,,,0.470,0.470,,,,,0.532,0.532,,,,,0.498,0.498,,,,,0.463,0.463,,,,,0.522,0.522,,,,,0.530,0.530,,,,,0.529,0.529,,,,,1235,SUMO1_HUMAN,high,Human
SYUA_HUMAN_Newberry_2020,0.167,0.167,,,,,0.160,0.160,,,,,0.146,0.146,,,,,0.128,0.128,,,,,0.281,0.281,,,,,0.265,0.265,,,,,0.139,0.139,,,,,0.130,0.130,,,,,0.125,0.125,,,,,0.159,0.159,,,,,0.304,0.304,,,,,0.183,0.183,,,,,0.169,0.169,,,,,0.163,0.163,,,,,0.158,0.158,,,,,1765,SYUA_HUMAN,medium,Human
TADBP_HUMAN_Bolognesi_2019,0.071,0.071,,,,,0.123,0.123,,,,,0.125,0.125,,,,,0.050,0.050,,,,,0.060,0.060,,,,,-0.074,-0.074,,,,,0.098,0.098,,,,,0.062,0.062,,,,,0.106,0.106,,,,,0.079,0.079,,,,,0.063,0.063,,,,,0.032,0.032,,,,,0.108,0.108,,,,,0.107,0.107,,,,,0.111,0.111,,,,,1105,TADBP_HUMAN,low,Human
TAT_HV1BR_Fernandes_2016,0.337,0.337,,,,,0.206,0.206,,,,,0.244,0.244,,,,,0.310,0.310,,,,,0.342,0.342,,,,,0.209,0.209,,,,,0.286,0.286,,,,,0.211,0.211,,,,,0.309,0.309,,,,,0.330,0.330,,,,,0.343,0.343,,,,,0.336,0.336,,,,,0.265,0.265,,,,,0.284,0.284,,,,,0.283,0.283,,,,,1558,TAT_HV1BR,high,Virus
TPK1_HUMAN_Weile_2017,0.230,0.230,,,,,0.313,0.313,,,,,0.314,0.314,,,,,0.268,0.268,,,,,0.284,0.284,,,,,0.267,0.267,,,,,0.214,0.214,,,,,0.238,0.238,,,,,0.224,0.224,,,,,0.232,0.232,,,,,0.333,0.333,,,,,0.293,0.293,,,,,0.290,0.290,,,,,0.285,0.285,,,,,0.286,0.286,,,,,2568,TPK1_HUMAN,medium,Human
TPMT_HUMAN_Matreyek_2018,0.548,0.548,,,,,0.445,0.445,,,,,0.522,0.522,,,,,0.508,0.508,,,,,0.540,0.540,,,,,0.543,0.543,,,,,0.547,0.547,,,,,0.545,0.545,,,,,0.468,0.468,,,,,0.552,0.552,,,,,0.574,0.574,,,,,0.508,0.508,,,,,0.551,0.551,,,,,0.562,0.562,,,,,0.563,0.563,,,,,2682,TPMT_HUMAN,medium,Human
TPOR_HUMAN_Bridgford_2020_S505N,0.393,0.393,,,,,0.410,0.410,,,,,0.453,0.453,,,,,0.507,0.507,,,,,0.362,0.362,,,,,0.352,0.352,,,,,0.319,0.319,,,,,0.402,0.402,,,,,0.410,0.410,,,,,0.413,0.413,,,,,0.372,0.372,,,,,0.483,0.483,,,,,0.455,0.455,,,,,0.459,0.459,,,,,0.474,0.474,,,,,498,TPOR_HUMAN,low,Human
TRPC_SACS2_Chan_2017,0.577,0.577,,,,,0.551,0.551,,,,,0.585,0.585,,,,,0.629,0.629,,,,,0.606,0.606,,,,,0.587,0.587,,,,,0.543,0.543,,,,,0.604,0.604,,,,,0.570,0.570,,,,,0.578,0.578,,,,,0.638,0.638,,,,,0.654,0.654,,,,,0.593,0.593,,,,,0.594,0.594,,,,,0.595,0.595,,,,,1500,TRPC_SACS2,medium,Prokaryote
TRPC_THEMA_Chan_2017,0.420,0.420,,,,,0.453,0.453,,,,,0.436,0.436,,,,,0.474,0.474,,,,,0.472,0.472,,,,,0.429,0.429,,,,,0.404,0.404,,,,,0.447,0.447,,,,,0.400,0.400,,,,,0.411,0.411,,,,,0.501,0.501,,,,,0.472,0.472,,,,,0.448,0.448,,,,,0.440,0.440,,,,,0.435,0.435,,,,,1500,TRPC_THEMA,medium,Prokaryote
UBC9_HUMAN_Weile_2017,0.538,0.538,,,,,0.433,0.433,,,,,0.485,0.485,,,,,0.503,0.503,,,,,0.479,0.479,,,,,0.575,0.575,,,,,0.541,0.541,,,,,0.520,0.520,,,,,0.410,0.410,,,,,0.534,0.534,,,,,0.528,0.528,,,,,0.531,0.531,,,,,0.543,0.543,,,,,0.548,0.548,,,,,0.545,0.545,,,,,2222,UBC9_HUMAN,medium,Human
UBE4B_MOUSE_Starita_2013,0.476,0.476,,,,,0.256,0.256,,,,,0.388,0.388,,,,,0.347,0.347,,,,,0.462,0.462,,,,,0.395,0.395,,,,,0.466,0.466,,,,,0.446,0.446,,,,,0.456,0.456,,,,,0.470,0.470,,,,,0.488,0.488,,,,,0.368,0.368,,,,,0.454,0.454,,,,,0.467,0.467,,,,,0.463,0.463,,,,,852,UBE4B_MOUSE,low,Eukaryote
VKOR1_HUMAN_Chiasson_2020_abundance,0.425,0.425,,,,,0.519,0.519,,,,,0.552,0.552,,,,,0.481,0.481,,,,,0.406,0.406,,,,,0.438,0.438,,,,,0.434,0.434,,,,,0.442,0.442,,,,,0.459,0.459,,,,,0.418,0.418,,,,,0.446,0.446,,,,,0.498,0.498,,,,,0.535,0.535,,,,,0.532,0.532,,,,,0.529,0.529,,,,,2087,VKOR1_HUMAN,medium,Human
VKOR1_HUMAN_Chiasson_2020_activity,0.500,0.500,,,,,0.414,0.414,,,,,0.451,0.451,,,,,0.462,0.462,,,,,0.489,0.489,,,,,0.482,0.482,,,,,0.493,0.493,,,,,0.467,0.467,,,,,0.438,0.438,,,,,0.495,0.495,,,,,0.506,0.506,,,,,0.464,0.464,,,,,0.500,0.500,,,,,0.504,0.504,,,,,0.502,0.502,,,,,536,VKOR1_HUMAN,medium,Human
YAP1_HUMAN_Araya_2012,0.438,0.613,0.448,,,,0.218,0.259,0.218,,,,0.359,0.464,0.362,,,,0.071,0.056,0.071,,,,0.281,0.341,0.284,,,,0.189,0.237,0.192,,,,0.466,0.647,0.472,,,,0.370,0.554,0.383,,,,0.430,0.608,0.432,,,,0.449,0.619,0.459,,,,0.286,0.416,0.291,,,,0.055,0.036,0.054,,,,0.403,0.520,0.412,,,,0.428,0.570,0.436,,,,0.430,0.572,0.437,,,,10067,YAP1_HUMAN,low,Human
Average,0.460,0.460,0.392,0.375,0.334,0.420,0.409,0.402,0.412,0.425,0.335,0.479,0.459,0.456,0.435,0.443,0.368,0.499,0.433,0.434,0.359,0.390,0.327,0.431,0.386,0.387,0.291,0.190,0.160,0.245,0.406,0.403,0.344,0.329,0.281,0.396,0.426,0.425,0.394,0.372,0.304,0.418,0.438,0.438,0.392,0.379,0.319,0.433,0.402,0.401,0.325,0.286,0.319,0.421,0.465,0.465,0.399,0.376,0.333,0.420,0.418,0.416,0.307,0.189,0.173,0.268,0.446,0.446,0.374,0.405,0.342,0.440,0.483,0.482,0.462,0.458,0.386,0.502,0.486,0.487,0.454,0.450,0.385,0.494,0.488,0.489,0.454,0.450,0.384,0.494,-,-,-,-
